shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.339286,5.9061,3.3653,1.755,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0333333,3.1647,1.4777,2.142,
3,4,128,4,128,4,128,PASS,9.53674e-07,0.114754,3.1804,1.4627,2.174,
4,16,128,4,128,4,128,PASS,1.07288e-06,0.0375,3.1524,1.3796,2.285,
5,128,128,4,128,4,128,PASS,1.43051e-06,1.125,10.9979,6.1929,1.776,
6,10000,128,4,128,4,128,PASS,1.90735e-06,8.33333,772.2922,417.9698,1.848,
7,64,32,4,128,4,32,PASS,9.53674e-07,0.0187266,4.0454,1.9587,2.065,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,15.5294,70.9251,64.5872,1.098,
9,64,128,1,128,4,128,PASS,1.19209e-06,0.0965251,3.8457,3.1057,1.238,
10,64,128,2,128,4,128,PASS,1.19209e-06,0.165354,4.7737,3.1320,1.524,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.284768,12.5450,4.9063,2.557,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.1123,3.0614,1.3163,2.326,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.21053,168.6030,42.1453,4.001,
14,32,1024,16,100000,2,1024,PASS(trunc),1.19209e-06,0.127273,,,,"full S=100000: median=293376.9 ms | 10,907 tok/s | peak_vram=14.61 GB | chunk_bs=1"
