shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.5355,4.1779,2.282,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0288462,3.0460,0.9067,3.359,
3,4,128,4,128,4,128,PASS,9.53674e-07,0.0461537,3.1601,1.0487,3.013,
4,16,128,4,128,4,128,PASS,1.43051e-06,0.421053,3.3034,1.2324,2.681,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.4744,9.4978,1.945,
6,10000,128,4,128,4,128,PASS,1.66893e-06,203605,1431.8796,761.3315,1.881,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.3324,2.3332,2.714,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,128.5070,118.3232,1.086,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.4312,5.0984,1.261,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,8.0164,5.1359,1.561,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,22.4072,7.2704,3.082,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.0043,1.5243,1.971,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,318.7385,71.8083,4.439,
14,32,1024,16,100000,2,1024,PASS(trunc),1.19209e-06,0.430108,,,,"full S=100000: median=204132.3 ms | 15,676 tok/s | peak_vram=14.58 GB | chunk_bs=1"
