shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.43051e-06,0.382979,9.3411,9.7880,0.954,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.00961532,2.8876,1.4200,2.033,
3,4,128,4,128,4,128,PASS,1.43051e-06,0.184615,2.8631,1.6507,1.734,
4,16,128,4,128,4,128,PASS,1.19209e-06,0.0362538,2.8774,2.6318,1.093,
5,128,128,4,128,4,128,PASS,1.43051e-06,3,18.1360,18.9644,0.956,
6,10000,128,4,128,4,128,PASS,1.90735e-06,152347,1420.6226,1530.3032,0.928,
7,64,32,4,128,4,32,PASS,1.19209e-06,1,6.2662,3.4625,1.810,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,129.5585,119.5399,1.084,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.7,6.2546,35.4762,0.176,
10,64,128,2,128,4,128,PASS,1.43051e-06,1.58333,7.8295,39.8348,0.197,
11,64,128,16,128,4,128,PASS,1.19209e-06,0.386667,22.2768,12.3264,1.807,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.089109,2.9249,2.6426,1.107,
13,64,128,4,1024,4,128,PASS,1.43051e-06,5.8,323.9737,225.5892,1.436,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
