shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.4479,4.1430,2.280,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0865386,3.3690,0.9225,3.652,
3,4,128,4,128,4,128,PASS,9.53674e-07,0.0461537,3.4452,1.0977,3.138,
4,16,128,4,128,4,128,PASS,1.43051e-06,0.421053,3.5692,1.2271,2.909,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.3050,9.1980,1.990,
6,10000,128,4,128,4,128,PASS,1.66893e-06,203605,1436.2799,749.8143,1.916,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.3563,2.3450,2.711,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,132.1269,121.2453,1.090,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.4064,5.1118,1.253,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,7.9836,5.1260,1.557,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,22.4678,7.2243,3.110,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.4284,1.5094,2.271,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,317.9019,70.0033,4.541,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
