shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,0.00153208,372.703,9.4288,1.6634,5.669,
2,1,128,4,128,4,128,PASS,0.00113469,584.053,3.0944,0.6800,4.551,
3,4,128,4,128,4,128,PASS,0.00129876,569.793,2.9143,0.7188,4.054,
4,16,128,4,128,4,128,PASS,0.00152028,3376.56,3.1539,0.6941,4.544,
5,128,128,4,128,4,128,PASS,0.00162542,4734.51,18.2637,5.1080,3.575,
6,10000,128,4,128,4,128,PASS,0.00203884,4.14387e+08,1429.8435,393.3432,3.635,
7,64,32,4,128,4,32,PASS,0.00167876,1571.19,6.3078,2.2956,2.748,
8,64,1024,4,128,4,1024,PASS,0.00149506,5264.85,130.3593,32.4788,4.014,
9,64,128,1,128,4,128,PASS,0.00141031,607.115,6.3725,2.6827,2.375,
10,64,128,2,128,4,128,PASS,0.00160718,633.403,7.9463,2.6819,2.963,
11,64,128,16,128,4,128,PASS,0.00141484,785.845,22.3195,3.5041,6.369,
12,64,128,4,32,4,128,PASS,0.00142801,77.641,2.8936,2.1926,1.320,
13,64,128,4,1024,4,128,PASS,0.00165205,22743.3,317.3440,27.5291,11.528,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
