shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.5948,4.2387,2.264,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0865386,3.3649,0.8315,4.047,
3,4,128,4,128,4,128,PASS,1.19209e-06,0.0769232,3.3198,0.9437,3.518,
4,16,128,4,128,4,128,PASS,1.43051e-06,0.421053,3.3567,1.2370,2.714,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.7939,8.2200,2.286,
6,10000,128,4,128,4,128,PASS,1.66893e-06,203605,1536.7461,812.1312,1.892,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.4203,2.3068,2.783,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,148.4753,135.7486,1.094,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.6662,5.2129,1.279,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,8.1879,5.1800,1.581,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,22.7205,7.3994,3.071,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.1253,1.5110,2.068,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,324.0181,73.0388,4.436,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
