shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,0.00117028,276.679,9.5804,2.2762,4.209,
2,1,128,4,128,4,128,PASS,0.000848308,99.8166,3.0960,0.7455,4.153,
3,4,128,4,128,4,128,PASS,0.00103235,133.983,3.0085,0.8480,3.548,
4,16,128,4,128,4,128,PASS,0.0012399,58.1584,3.2066,0.8381,3.826,
5,128,128,4,128,4,128,PASS,0.00128564,1467.99,18.6204,6.4223,2.899,
6,10000,128,4,128,4,128,PASS,0.00171646,9.03541e+07,1465.4280,507.7750,2.886,
7,64,32,4,128,4,32,PASS,0.001541,3120.48,6.3516,2.1509,2.953,
8,64,1024,4,128,4,1024,PASS,0.00123811,2516,149.1478,70.1234,2.127,
9,64,128,1,128,4,128,PASS,0.00136541,108.802,6.6048,3.4959,1.889,
10,64,128,2,128,4,128,PASS,0.00115292,558.329,8.1855,3.5164,2.328,
11,64,128,16,128,4,128,PASS,0.00130379,221.047,22.7428,4.3487,5.230,
12,64,128,4,32,4,128,PASS,0.00139132,42.5158,3.0740,2.0951,1.467,
13,64,128,4,1024,4,128,PASS,0.00114185,6645.86,323.7678,33.6955,9.609,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
