shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.4943,3.9772,2.387,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0288462,3.0740,0.8397,3.661,
3,4,128,4,128,4,128,PASS,1.07288e-06,0.02834,3.0334,0.9466,3.205,
4,16,128,4,128,4,128,PASS,1.43051e-06,0.421053,3.0522,1.1596,2.632,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.4569,8.9723,2.057,
6,10000,128,4,128,4,128,PASS,1.66893e-06,203605,1483.3931,783.7712,1.893,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.4102,2.3093,2.776,
8,64,1024,4,128,4,1024,PASS,2.38419e-06,1.6963,147.7855,135.5366,1.090,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.6996,5.0199,1.335,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,8.2735,5.0441,1.640,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,22.8780,7.1905,3.182,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.0228,1.4831,2.038,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,323.8543,72.4908,4.468,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
