shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.191489,9.6785,4.2926,2.255,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.0865386,3.2850,0.8300,3.958,
3,4,128,4,128,4,128,PASS,1.19209e-06,0.0769232,3.2503,0.9495,3.423,
4,16,128,4,128,4,128,PASS,1.19209e-06,0.657895,3.4386,1.4411,2.386,
5,128,128,4,128,4,128,PASS,1.43051e-06,4.33333,18.8723,8.3580,2.258,
6,10000,128,4,128,4,128,PASS,1.66893e-06,284325,1516.7717,830.7938,1.826,
7,64,32,4,128,4,32,PASS,9.53674e-07,2,6.4736,2.3710,2.730,
8,64,1024,4,128,4,1024,PASS,1.90735e-06,4.56818,145.6131,133.8652,1.088,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.233333,6.6990,5.2415,1.278,
10,64,128,2,128,4,128,PASS,1.43051e-06,0.666667,8.2797,5.3002,1.562,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.386667,22.9151,7.6033,3.014,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.10396,3.3895,1.5524,2.183,
13,64,128,4,1024,4,128,PASS,1.43051e-06,1.4,324.5753,74.4899,4.357,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
