shape,run,baseline_ms,opt_ms,speedup,max_abs,max_rel
1,A,9.5948,4.2387,2.264,1.19209e-06,0.191489
1,B,9.6785,4.2926,2.255,1.19209e-06,0.191489
1,C,9.479,4.1206,2.3,1.19209e-06,0.191489
2,A,3.3649,0.8315,4.047,9.53674e-07,0.0865386
2,B,3.285,0.83,3.958,9.53674e-07,0.0865386
2,C,3.477,0.8366,4.156,9.53674e-07,0.0865386
3,A,3.3198,0.9437,3.518,1.19209e-06,0.0769232
3,B,3.2503,0.9495,3.423,1.19209e-06,0.0769232
3,C,3.5226,1.1162,3.156,1.19209e-06,0.0769232
4,A,3.3567,1.237,2.714,1.43051e-06,0.421053
4,B,3.4386,1.4411,2.386,1.19209e-06,0.657895
4,C,3.468,1.2108,2.864,1.43051e-06,0.421053
5,A,18.7939,8.22,2.286,1.43051e-06,4.33333
5,B,18.8723,8.358,2.258,1.43051e-06,4.33333
5,C,18.4136,7.8722,2.339,1.43051e-06,4.33333
6,A,1536.75,812.131,1.892,1.66893e-06,203605
6,B,1516.77,830.794,1.826,1.66893e-06,284325
6,C,1503.61,868.486,1.731,1.66893e-06,203605
7,A,6.4203,2.3068,2.783,9.53674e-07,2
7,B,6.4736,2.371,2.73,9.53674e-07,2
7,C,6.4698,2.3306,2.776,9.53674e-07,2
8,A,148.475,135.749,1.094,1.90735e-06,4.56818
8,B,145.613,133.865,1.088,1.90735e-06,4.56818
8,C,157.682,147.007,1.073,1.90735e-06,4.56818
9,A,6.6662,5.2129,1.279,1.43051e-06,0.233333
9,B,6.699,5.2415,1.278,1.43051e-06,0.233333
9,C,6.8085,5.3473,1.273,1.43051e-06,0.233333
10,A,8.1879,5.18,1.581,1.43051e-06,0.666667
10,B,8.2797,5.3002,1.562,1.43051e-06,0.666667
10,C,8.3845,5.4052,1.551,1.43051e-06,0.666667
11,A,22.7205,7.3994,3.071,1.43051e-06,0.386667
11,B,22.9151,7.6033,3.014,1.43051e-06,0.386667
11,C,23.0939,7.6328,3.026,1.43051e-06,0.386667
12,A,3.1253,1.511,2.068,1.19209e-06,0.10396
12,B,3.3895,1.5524,2.183,1.19209e-06,0.10396
12,C,3.4345,1.5319,2.242,1.19209e-06,0.10396
13,A,324.018,73.0388,4.436,1.43051e-06,1.4
13,B,324.575,74.4899,4.357,1.43051e-06,1.4
13,C,342.144,75.6163,4.525,1.43051e-06,1.4
