shape,B,D,H,S,L,F,pass,max_abs,max_rel,baseline_ms,opt_ms,speedup,notes
1,64,128,4,128,4,128,PASS,1.19209e-06,0.107296,9.5518,4.6476,2.055,
2,1,128,4,128,4,128,PASS,9.53674e-07,0.144231,3.0253,1.5687,1.929,
3,4,128,4,128,4,128,PASS,1.19209e-06,0.0242915,2.7899,1.5503,1.800,
4,16,128,4,128,4,128,PASS,1.19209e-06,0.736842,2.8198,1.5890,1.775,
5,128,128,4,128,4,128,PASS,1.19209e-06,3,18.4399,9.0582,2.036,
6,10000,128,4,128,4,128,PASS,1.66893e-06,127253,1506.7628,760.9705,1.980,
7,64,32,4,128,4,32,PASS,9.53674e-07,1,6.3739,2.2546,2.827,
8,64,1024,4,128,4,1024,PASS,1.78814e-06,1.41481,145.9855,134.2137,1.088,
9,64,128,1,128,4,128,PASS,1.43051e-06,0.4,6.7482,5.0692,1.331,
10,64,128,2,128,4,128,PASS,1.19209e-06,1.16667,8.3128,5.0321,1.652,
11,64,128,16,128,4,128,PASS,1.43051e-06,0.513889,22.9144,7.3073,3.136,
12,64,128,4,32,4,128,PASS,1.19209e-06,0.123762,2.7500,1.5436,1.782,
13,64,128,4,1024,4,128,PASS,1.66893e-06,6,324.7281,71.1971,4.561,
14,32,1024,16,100000,2,1024,,,,,,,baseline infeasible ~20.5TB
